,Mode Coeff,Statistic,Mechanism,MUF,cbe10hr180306
597,9,0,0,1,0
598,10,0,0,1,0
599,11,0,0,1,0
600,12,0,0,1,0
601,13,0,0,1,0
602,14,0,0,1,0
603,15,0,0,1,0
604,16,0,0,1,0
605,17,0,0,1,0
606,18,0,0,1,0
607,19,0,0,1,0
608,20,0,0,1,0
609,0,1,0,1,0
610,1,1,0,1,0
611,2,1,0,1,0.4
612,3,1,0,1,0.05
613,4,1,0,1,0.05
614,5,1,0,1,0.05
615,6,1,0,1,0.05
616,7,1,0,1,0
617,8,1,0,1,0
618,9,1,0,1,0
619,10,1,0,1,0
620,11,1,0,1,0
621,12,1,0,1,0
622,13,1,0,1,0
623,14,1,0,1,0
624,15,1,0,1,0
625,16,1,0,1,0
626,17,1,0,1,0
627,18,1,0,1,0
628,19,1,0,1,0
629,20,1,0,1,0
630,0,2,0,1,0
631,1,2,0,1,0
632,2,2,0,1,1.45
633,3,2,0,1,0
634,4,2,0,1,0.05
635,5,2,0,1,0.2
636,6,2,0,1,0.05
637,7,2,0,1,0
638,8,2,0,1,0
639,9,2,0,1,0
640,10,2,0,1,0
641,11,2,0,1,0
642,12,2,0,1,0
643,13,2,0,1,0
644,14,2,0,1,0
645,15,2,0,1,0
646,16,2,0,1,0
647,17,2,0,1,0
648,18,2,0,1,0
649,19,2,0,1,0
650,20,2,0,1,0
651,0,3,0,1,0
652,1,3,0,1,0
653,2,3,0,1,0.4
654,3,3,0,1,0.05
655,4,3,0,1,0.05
656,5,3,0,1,0.05
657,6,3,0,1,0.05
658,7,3,0,1,0
659,8,3,0,1,0
660,9,3,0,1,0
661,10,3,0,1,0
662,11,3,0,1,0
663,12,3,0,1,0
664,13,3,0,1,0
665,14,3,0,1,0
666,15,3,0,1,0
667,16,3,0,1,0
668,17,3,0,1,0
669,18,3,0,1,0
670,19,3,0,1,0
671,20,3,0,1,0
672,0,0,1,1,0
673,1,0,1,1,0
674,2,0,1,1,0
675,3,0,1,1,0
676,4,0,1,1,0
677,5,0,1,1,0
678,6,0,1,1,0
679,7,0,1,1,0
680,8,0,1,1,0
681,9,0,1,1,0
682,10,0,1,1,0.9
683,11,0,1,1,0.45
684,12,0,1,1,8.1
685,13,0,1,1,0.15
686,14,0,1,1,0.05
687,15,0,1,1,0.05
688,16,0,1,1,0.15
689,17,0,1,1,0
690,18,0,1,1,0
691,19,0,1,1,0
692,20,0,1,1,0
693,0,1,1,1,0
694,1,1,1,1,0
695,2,1,1,1,0
696,3,1,1,1,0
697,4,1,1,1,0
698,5,1,1,1,0
699,6,1,1,1,0
700,7,1,1,1,0
701,8,1,1,1,0
702,9,1,1,1,0
703,10,1,1,1,1.35
704,11,1,1,1,2.65
705,12,1,1,1,4.25
706,13,1,1,1,2.3
707,14,1,1,1,0.25
708,15,1,1,1,0.05
709,16,1,1,1,0.15
710,17,1,1,1,0
711,18,1,1,1,0
712,19,1,1,1,0
713,20,1,1,1,0
714,0,2,1,1,0
715,1,2,1,1,0
716,2,2,1,1,0
717,3,2,1,1,0
718,4,2,1,1,0
719,5,2,1,1,0
720,6,2,1,1,0
721,7,2,1,1,0
722,8,2,1,1,0
723,9,2,1,1,0
724,10,2,1,1,3
725,11,2,1,1,6.45
726,12,2,1,1,4.4
727,13,2,1,1,7.25
728,14,2,1,1,0.55
729,15,2,1,1,0
730,16,2,1,1,1.45
731,17,2,1,1,0
732,18,2,1,1,0
733,19,2,1,1,0
734,20,2,1,1,0
735,0,3,1,1,0
736,1,3,1,1,0
737,2,3,1,1,0
738,3,3,1,1,0
739,4,3,1,1,0
740,5,3,1,1,0
741,6,3,1,1,0
742,7,3,1,1,0
743,8,3,1,1,0
744,9,3,1,1,0
745,10,3,1,1,1.35
746,11,3,1,1,2.65
747,12,3,1,1,4.25
748,13,3,1,1,2.3
749,14,3,1,1,0.25
750,15,3,1,1,0.05
751,16,3,1,1,0.15
752,17,3,1,1,0
753,18,3,1,1,0
754,19,3,1,1,0
755,20,3,1,1,0
756,0,0,2,1,0
757,1,0,2,1,0
758,2,0,2,1,0
759,3,0,2,1,0
760,4,0,2,1,0
761,5,0,2,1,0
762,6,0,2,1,0
763,7,0,2,1,0
764,8,0,2,1,0
765,9,0,2,1,0
766,10,0,2,1,0
767,11,0,2,1,0
768,12,0,2,1,0
769,13,0,2,1,0
770,14,0,2,1,0
771,15,0,2,1,0
772,16,0,2,1,0
773,17,0,2,1,0.009
774,18,0,2,1,0.07
775,19,0,2,1,0
776,20,0,2,1,0
777,0,1,2,1,0
778,1,1,2,1,0
779,2,1,2,1,0
780,3,1,2,1,0
781,4,1,2,1,0
782,5,1,2,1,0
783,6,1,2,1,0
784,7,1,2,1,0
785,8,1,2,1,0
786,9,1,2,1,0
787,10,1,2,1,0
788,11,1,2,1,0
789,12,1,2,1,0
790,13,1,2,1,0
791,14,1,2,1,0
792,15,1,2,1,0
793,16,1,2,1,0
794,17,1,2,1,0
795,18,1,2,1,0
796,19,1,2,1,0
797,20,1,2,1,0
798,0,2,2,1,0
799,1,2,2,1,0
800,2,2,2,1,0
801,3,2,2,1,0
802,4,2,2,1,0
803,5,2,2,1,0
804,6,2,2,1,0
805,7,2,2,1,0
806,8,2,2,1,0
807,9,2,2,1,0
808,10,2,2,1,0
809,11,2,2,1,0
810,12,2,2,1,0
811,13,2,2,1,0
812,14,2,2,1,0
813,15,2,2,1,0
814,16,2,2,1,0
815,17,2,2,1,0.035
816,18,2,2,1,0.02
817,19,2,2,1,0
818,20,2,2,1,0
819,0,3,2,1,0
820,1,3,2,1,0
821,2,3,2,1,0
822,3,3,2,1,0
823,4,3,2,1,0
824,5,3,2,1,0
825,6,3,2,1,0
826,7,3,2,1,0
827,8,3,2,1,0
828,9,3,2,1,0
829,10,3,2,1,0
830,11,3,2,1,0
831,12,3,2,1,0
832,13,3,2,1,0
833,14,3,2,1,0
834,15,3,2,1,0
835,16,3,2,1,0
836,17,3,2,1,0
837,18,3,2,1,0
838,19,3,2,1,0
839,20,3,2,1,0
840,0,0,3,1,0
841,1,0,3,1,0
842,2,0,3,1,0
843,3,0,3,1,0
844,4,0,3,1,0
845,5,0,3,1,0
846,6,0,3,1,0
847,7,0,3,1,0
848,8,0,3,1,0
849,9,0,3,1,0
850,10,0,3,1,0
851,11,0,3,1,0
852,12,0,3,1,0
853,13,0,3,1,0
854,14,0,3,1,0
855,15,0,3,1,0
856,16,0,3,1,0
857,17,0,3,1,0
858,18,0,3,1,0
859,19,0,3,1,0
860,20,0,3,1,0
861,0,1,3,1,0.228035085019828
862,1,1,3,1,0.175
863,2,1,3,1,0
864,3,1,3,1,0
865,4,1,3,1,0
866,5,1,3,1,0
867,6,1,3,1,0
868,7,1,3,1,0
869,8,1,3,1,0
870,9,1,3,1,0
871,10,1,3,1,0
872,11,1,3,1,0
873,12,1,3,1,0
874,13,1,3,1,0
875,14,1,3,1,0
876,15,1,3,1,0
877,16,1,3,1,0
878,17,1,3,1,0
879,18,1,3,1,0
880,19,1,3,1,0
881,20,1,3,1,0
882,0,2,3,1,0
883,1,2,3,1,0
884,2,2,3,1,0
885,3,2,3,1,0
886,4,2,3,1,0
887,5,2,3,1,0
888,6,2,3,1,0
889,7,2,3,1,0
890,8,2,3,1,0
891,9,2,3,1,0
892,10,2,3,1,0
893,11,2,3,1,0
894,12,2,3,1,0
895,13,2,3,1,0
896,14,2,3,1,0
897,15,2,3,1,0
898,16,2,3,1,0
899,17,2,3,1,0
900,18,2,3,1,0
901,19,2,3,1,0
902,20,2,3,1,0
903,0,3,3,1,0.113137084989848
904,1,3,3,1,0.092601295887261
905,2,3,3,1,0
906,3,3,3,1,0
907,4,3,3,1,0
908,5,3,3,1,0
909,6,3,3,1,0
910,7,3,3,1,0
911,8,3,3,1,0
912,9,3,3,1,0
913,10,3,3,1,0
914,11,3,3,1,0
915,12,3,3,1,0
916,13,3,3,1,0
917,14,3,3,1,0
918,15,3,3,1,0
919,16,3,3,1,0
920,17,3,3,1,0
921,18,3,3,1,0
922,19,3,3,1,0
923,20,3,3,1,0
924,0,0,4,1,0
925,1,0,4,1,0
926,2,0,4,1,0
927,3,0,4,1,0
928,4,0,4,1,0
929,5,0,4,1,0
930,6,0,4,1,0
931,7,0,4,1,0
932,8,0,4,1,0
933,9,0,4,1,0
934,10,0,4,1,0
935,11,0,4,1,0
936,12,0,4,1,0
937,13,0,4,1,0
938,14,0,4,1,0
939,15,0,4,1,0
940,16,0,4,1,0
941,17,0,4,1,0
942,18,0,4,1,0
943,19,0,4,1,0
944,20,0,4,1,0
945,0,1,4,1,0
946,1,1,4,1,0
947,2,1,4,1,75
948,3,1,4,1,50
949,4,1,4,1,50
950,5,1,4,1,10
951,6,1,4,1,10
952,7,1,4,1,20
953,8,1,4,1,20
954,9,1,4,1,10
955,10,1,4,1,0
956,11,1,4,1,0
957,12,1,4,1,0
958,13,1,4,1,0
959,14,1,4,1,0
960,15,1,4,1,0
961,16,1,4,1,0
962,17,1,4,1,0
963,18,1,4,1,0
964,19,1,4,1,0
965,20,1,4,1,0
966,0,2,4,1,0
967,1,2,4,1,0
968,2,2,4,1,0
969,3,2,4,1,0
970,4,2,4,1,0
971,5,2,4,1,0
972,6,2,4,1,0
973,7,2,4,1,0
974,8,2,4,1,0
975,9,2,4,1,0
976,10,2,4,1,0
977,11,2,4,1,0
978,12,2,4,1,0
979,13,2,4,1,0
980,14,2,4,1,0
981,15,2,4,1,0
982,16,2,4,1,0
983,17,2,4,1,0
984,18,2,4,1,0
985,19,2,4,1,0
986,20,2,4,1,0
987,0,3,4,1,0
988,1,3,4,1,0
989,2,3,4,1,50
990,3,3,4,1,35
991,4,3,4,1,35
992,5,3,4,1,7.5
993,6,3,4,1,7.5
994,7,3,4,1,15
995,8,3,4,1,15
996,9,3,4,1,7.5
997,10,3,4,1,0
998,11,3,4,1,0
999,12,3,4,1,0
1000,13,3,4,1,0
1001,14,3,4,1,0
1002,15,3,4,1,0
1003,16,3,4,1,0
1004,17,3,4,1,0
1005,18,3,4,1,0
1006,19,3,4,1,0
1007,20,3,4,1,0
1008,0,0,5,1,0
1009,1,0,5,1,0
1010,2,0,5,1,0
1011,3,0,5,1,0
1012,4,0,5,1,0
1013,5,0,5,1,0
1014,6,0,5,1,0
1015,7,0,5,1,0
1016,8,0,5,1,0
1017,9,0,5,1,0
1018,10,0,5,1,0
1019,11,0,5,1,0
1020,12,0,5,1,0
1021,13,0,5,1,0
1022,14,0,5,1,0
1023,15,0,5,1,0
1024,16,0,5,1,0
1025,17,0,5,1,0
1026,18,0,5,1,0
1027,19,0,5,1,2.5
1028,20,0,5,1,0
1029,0,1,5,1,0
1030,1,1,5,1,0
1031,2,1,5,1,0
1032,3,1,5,1,0
1033,4,1,5,1,0
1034,5,1,5,1,0
1035,6,1,5,1,0
1036,7,1,5,1,0
1037,8,1,5,1,0
1038,9,1,5,1,0
1039,10,1,5,1,0
1040,11,1,5,1,0
1041,12,1,5,1,0
1042,13,1,5,1,0
1043,14,1,5,1,0
1044,15,1,5,1,0
1045,16,1,5,1,0
1046,17,1,5,1,0
1047,18,1,5,1,0
1048,19,1,5,1,2.5
1049,20,1,5,1,0
1050,0,2,5,1,0
1051,1,2,5,1,0
1052,2,2,5,1,0
1053,3,2,5,1,0
1054,4,2,5,1,0
1055,5,2,5,1,0
1056,6,2,5,1,0
1057,7,2,5,1,0
1058,8,2,5,1,0
1059,9,2,5,1,0
1060,10,2,5,1,0
1061,11,2,5,1,0
1062,12,2,5,1,0
1063,13,2,5,1,0
1064,14,2,5,1,0
1065,15,2,5,1,0
1066,16,2,5,1,0
1067,17,2,5,1,0
1068,18,2,5,1,0
1069,19,2,5,1,2.5
1070,20,2,5,1,0
1071,0,3,5,1,0
1072,1,3,5,1,0
1073,2,3,5,1,0
1074,3,3,5,1,0
1075,4,3,5,1,0
1076,5,3,5,1,0
1077,6,3,5,1,0
1078,7,3,5,1,0
1079,8,3,5,1,0
1080,9,3,5,1,0
1081,10,3,5,1,0
1082,11,3,5,1,0
1083,12,3,5,1,0
1084,13,3,5,1,0
1085,14,3,5,1,0
1086,15,3,5,1,0
1087,16,3,5,1,0
1088,17,3,5,1,0
1089,18,3,5,1,0
1090,19,3,5,1,2.5
1091,20,3,5,1,0
1092,0,0,6,1,0
1093,1,0,6,1,0
1094,2,0,6,1,0
1095,3,0,6,1,0
1096,4,0,6,1,0
1097,5,0,6,1,0
1098,6,0,6,1,0
1099,7,0,6,1,0
1100,8,0,6,1,0
1101,9,0,6,1,0
1102,10,0,6,1,0
1103,11,0,6,1,0
1104,12,0,6,1,0
1105,13,0,6,1,0
1106,14,0,6,1,0
1107,15,0,6,1,0
1108,16,0,6,1,0
1109,17,0,6,1,0
1110,18,0,6,1,0
1111,19,0,6,1,0
1112,20,0,6,1,3
1113,0,1,6,1,0
1114,1,1,6,1,0
1115,2,1,6,1,0
1116,3,1,6,1,0
1117,4,1,6,1,0
1118,5,1,6,1,0
1119,6,1,6,1,0
1120,7,1,6,1,0
1121,8,1,6,1,0
1122,9,1,6,1,0
1123,10,1,6,1,0
1124,11,1,6,1,0
1125,12,1,6,1,0
1126,13,1,6,1,0
1127,14,1,6,1,0
1128,15,1,6,1,0
1129,16,1,6,1,0
1130,17,1,6,1,0
1131,18,1,6,1,0
1132,19,1,6,1,0
1133,20,1,6,1,3
1134,0,2,6,1,0
1135,1,2,6,1,0
1136,2,2,6,1,0
1137,3,2,6,1,0
1138,4,2,6,1,0
1139,5,2,6,1,0
1140,6,2,6,1,0
1141,7,2,6,1,0
1142,8,2,6,1,0
1143,9,2,6,1,0
1144,10,2,6,1,0
1145,11,2,6,1,0
1146,12,2,6,1,0
1147,13,2,6,1,0
1148,14,2,6,1,0
1149,15,2,6,1,0
1150,16,2,6,1,0
1151,17,2,6,1,0
1152,18,2,6,1,0
1153,19,2,6,1,0
1154,20,2,6,1,3
1155,0,3,6,1,0
1156,1,3,6,1,0
1157,2,3,6,1,0
1158,3,3,6,1,0
1159,4,3,6,1,0
1160,5,3,6,1,0
1161,6,3,6,1,0
1162,7,3,6,1,0
1163,8,3,6,1,0
1164,9,3,6,1,0
1165,10,3,6,1,0
1166,11,3,6,1,0
1167,12,3,6,1,0
1168,13,3,6,1,0
1169,14,3,6,1,0
1170,15,3,6,1,0
1171,16,3,6,1,0
1172,17,3,6,1,0
1173,18,3,6,1,0
1174,19,3,6,1,0
1175,20,3,6,1,3